Index,Name,gt_ID,gt_Name,Predicted Match,Actual Match,Exact,.,other punctuation,white space,truncation,spelling mistakes,var lacks suffix,gt lacks suffix,long vs short suffix,extra words,insurance words,the,acronym,.com,Global
46,DOLLAR MUTUAL BANCORP FEDERAL,3208593,DOLLAR MUTUAL BANCORP,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,DUSIT USA MANAGEMENT INC.,980707,DUSIT USA MANAGEMENT INC.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ELEVATION ONCOLOGY GLOBAL,375627,ELEVATION ONCOLOGY INC.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
49,ELEVATION ONCOLOGY INC,375627,ELEVATION ONCOLOGY INC.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,EXCESS RISK. Project Titan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Echo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Elevation Oncology (Axis) DPT,375627,ELEVATION ONCOLOGY INC.,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
53,"Elevation Oncology, Inc.",375627,ELEVATION ONCOLOGY INC.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,FORMA THERAPEUTICS US,541803,FORMA THERAPEUTICS,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,FUJIFILM BI INTERNATIONAL,1540309,FUJIFILM BI INTERNATIONAL OPERATIONS CORP.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,Ford Motor Company,2308901,FORD MOTOR COMP,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,GB002 GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GLOBAL BLOOD THERAPEUT US,17794,GLOBAL BLOOD THERAPEUTICS INC.,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
59,Gateway,953154,GATEWAY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,INCYTE GLOBAL,242506,INCYTE CORPORATION,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,INVESCO LIMITED,242560,INVESCO LTD.,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
62,Indian Oil Corporation (United States),,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,K & L GATES LLP,2624334,K&L GATES LLP,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,MFS INVESTMENT MANAGEMENT,2615279,MFS INVESTMENT MANAGEMENT FOUNDATION INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,MIRUM PHARMACEUTICALS US,377984,MIRUM PHARMACEUTICALS INC.,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
66,MODERNATX GLOBAL,390703,MODERNATX INC,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,MORRISON AND FOERSTER LLP,131212,MORRISON & FOERSTER LLP,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,"Minebea Mitsumi, Inc.",1941477,MITSUMI ELECTRONICS CORP,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Monarch,41606,MONARCH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,NATIONAL BEVERAGE CORPORATION,237042,NATIONAL BEVERAGE CORP,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,NS PHARMA US,1686236,NS PHARMA INC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72,North Clark LLC,323117,NORTH CLARK LLC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,OBOS BBL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,OTSUKA GLOBAL,1706021,OTSUKA GLOBAL INSURANCE INC.,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
75,OTSUKA PHARMACEUTI GLOBAL,1706051,OTSUKA PHARMACEUTICAL,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,Odyssey,106189,ODYSSEY LLC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Odyssey II,106189,ODYSSEY LLC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,PAUL HASTINGS JANOFSKY & WALKER LLP,2479871,PAUL HASTINGS LLP,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,PAUL HASTINGS LLP,2479871,PAUL HASTINGS LLP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,PLIANT THERAPEUTICS US,378874,PLIANT THERAPEUTICS INC.,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
81,PPD DO BR,26968,PPD INC.,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
82,PPD GLOBAL,26968,PPD INC.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,PROLOGIS INC,93343,PROLOGIS INC.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,PROSKAUER ROSE,793783,PROSKAUER ROSE LLP,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,PROSKAUER ROSE UK LLP,793783,PROSKAUER ROSE LLP,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Project Atlantic Bosch Marsh US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Project Bluefish Marsh US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Project Catalent (Novo) MST,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Project Catalent Lockton US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Project Erie,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Project Fresh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Project Hercules,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Project Hercules II,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Project Neptune Aon NFP US 23,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Project Nobel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Project Noble /Nobel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Project Odyssey Atlantic US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Project Pivot,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Project Summit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Project Titan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Project Titan 2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Project Trident,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Project Volt,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,QLARIS BIO GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,RHYTHM PHARMACEUTICALS US,379269,RHYTHM PHARMACEUTICALS INC.,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
106,SCLERODERMA RESEAR GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,SEAGEN GLOBAL,18425,SEAGEN INC,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
108,SHERWIN WILLIAMS COMPANY INC,50595,SHERWIN WILLIAMS,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,SHERWIN-WILLIAMS COMPANY INC,50595,SHERWIN WILLIAMS,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
110,SUMMIT THERAPEUTICS US,244088,SUMMIT THERAPEUTICS INC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
111,Song,2730959,SONG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Starwood Capital Group Holdings,2435488,STARWOOD CAPITAL GROUP LLC,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
113,Sumitomo Corporation of America,3082717,SUMITOMO CORPORATION OF AMERICA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Sunrise,296790,SUNRISE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,TEVA BRANDED PHARM GLOBAL,1582716,TEVA BRANDED PHARMACEUTICAL PRODUCTS R&D INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
116,THE CHARLES SCHWAB CORPORATION,1301599,THE CHARLES SCHWAB CORPORATION,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"Teva Pharmaceuticals USA, Inc.",1582831,TEVA PHARMACEUTICALS USA INC,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
118,Tidal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,UPSTREAM BIO GLOBAL,335510,UPSTREAM BIO INC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
120,Unipec (United States),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"Unipec America, Inc.",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"Unipec America, Inc. (PANAMA)",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,VANDA PHARMACEUTI GLOBAL,244310,VANDA PHARMACEUTICALS INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
124,VANGUARD FIDUCIARY TRUST COMPA,380901,VANGUARD FIDUCIARY TRUST COMPANY,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,VANGUARD FIDUCIARY TRUST COMPANY,380901,VANGUARD FIDUCIARY TRUST COMPANY,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,VANGUARD GROUP,3283542,VANGUARD GROUP INC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,VERA THERAPEUTICS GLOBAL,275748,VERA THERAPEUTICS INC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
128,VERA THERAPEUTICS INC,275748,VERA THERAPEUTICS INC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"VERACYTE, INC.",381219,VERACYTE INC.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,VERASTEM US,361391,VERASTEM INC.,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
131,VISTERRA GLOBAL,390805,VISTERRA INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
132,ZIDAN MEDICAL GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
