Index,Name,gt_ID,gt_Name,Predicted Match,Actual Match,Exact,.,other punctuation,white space,truncation,spelling mistakes,var lacks suffix,gt lacks suffix,long vs short suffix,extra words,insurance words,the,acronym,.com,Global
46,DOLLAR MUTUAL BANCORP FEDERAL,3208593,DOLLAR MUTUAL BANCORP,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,DUSIT USA MANAGEMENT INC.,980707,DUSIT USA MANAGEMENT INC.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ELEVATION ONCOLOGY GLOBAL,375627,ELEVATION ONCOLOGY INC.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
49,ELEVATION ONCOLOGY INC,375627,ELEVATION ONCOLOGY INC.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,EXCESS RISK. Project Titan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Echo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Elevation Oncology (Axis) DPT,375627,ELEVATION ONCOLOGY INC.,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
53,"Elevation Oncology, Inc.",375627,ELEVATION ONCOLOGY INC.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,FORMA THERAPEUTICS US,541803,FORMA THERAPEUTICS,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,FUJIFILM BI INTERNATIONAL,1540309,FUJIFILM BI INTERNATIONAL OPERATIONS CORP.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,Ford Motor Company,2308901,FORD MOTOR COMP,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,GB002 GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GLOBAL BLOOD THERAPEUT US,17794,GLOBAL BLOOD THERAPEUTICS INC.,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
59,Gateway,953154,GATEWAY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,INCYTE GLOBAL,242506,INCYTE CORPORATION,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,INVESCO LIMITED,242560,INVESCO LTD.,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
62,Indian Oil Corporation (United States),,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,K & L GATES LLP,2624334,K&L GATES LLP,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,MFS INVESTMENT MANAGEMENT,2615279,MFS INVESTMENT MANAGEMENT FOUNDATION INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,MIRUM PHARMACEUTICALS US,377984,MIRUM PHARMACEUTICALS INC.,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
66,MODERNATX GLOBAL,390703,MODERNATX INC,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,MORRISON AND FOERSTER LLP,131212,MORRISON & FOERSTER LLP,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,"Minebea Mitsumi, Inc.",1941477,MITSUMI ELECTRONICS CORP,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Monarch,41606,MONARCH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,NATIONAL BEVERAGE CORPORATION,237042,NATIONAL BEVERAGE CORP,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,NS PHARMA US,1686236,NS PHARMA INC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72,North Clark LLC,323117,NORTH CLARK LLC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,OBOS BBL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,OTSUKA GLOBAL,1706021,OTSUKA GLOBAL INSURANCE INC.,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
75,OTSUKA PHARMACEUTI GLOBAL,1706051,OTSUKA PHARMACEUTICAL,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,Odyssey,106189,ODYSSEY LLC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Odyssey II,106189,ODYSSEY LLC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,PAUL HASTINGS JANOFSKY & WALKER LLP,2479871,PAUL HASTINGS LLP,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,PAUL HASTINGS LLP,2479871,PAUL HASTINGS LLP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,PLIANT THERAPEUTICS US,378874,PLIANT THERAPEUTICS INC.,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
81,PPD DO BR,26968,PPD INC.,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
82,PPD GLOBAL,26968,PPD INC.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,PROLOGIS INC,93343,PROLOGIS INC.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,PROSKAUER ROSE,793783,PROSKAUER ROSE LLP,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,PROSKAUER ROSE UK LLP,793783,PROSKAUER ROSE LLP,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Project Atlantic Bosch Marsh US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Project Bluefish Marsh US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Project Catalent (Novo) MST,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Project Catalent Lockton US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Project Erie,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Project Fresh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Project Hercules,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Project Hercules II,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Project Neptune Aon NFP US 23,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Project Nobel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Project Noble /Nobel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Project Odyssey Atlantic US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Project Pivot,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Project Summit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Project Titan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Project Titan 2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Project Trident,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Project Volt,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,QLARIS BIO GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,RHYTHM PHARMACEUTICALS US,379269,RHYTHM PHARMACEUTICALS INC.,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
106,SCLERODERMA RESEAR GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,SEAGEN GLOBAL,18425,SEAGEN INC,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
108,SHERWIN WILLIAMS COMPANY INC,50595,SHERWIN WILLIAMS,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,SHERWIN-WILLIAMS COMPANY INC,50595,SHERWIN WILLIAMS,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
110,SUMMIT THERAPEUTICS US,244088,SUMMIT THERAPEUTICS INC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
111,Song,2730959,SONG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Starwood Capital Group Holdings,2435488,STARWOOD CAPITAL GROUP LLC,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
113,Sumitomo Corporation of America,3082717,SUMITOMO CORPORATION OF AMERICA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Sunrise,296790,SUNRISE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,TEVA BRANDED PHARM GLOBAL,1582716,TEVA BRANDED PHARMACEUTICAL PRODUCTS R&D INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
116,THE CHARLES SCHWAB CORPORATION,1301599,THE CHARLES SCHWAB CORPORATION,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"Teva Pharmaceuticals USA, Inc.",1582831,TEVA PHARMACEUTICALS USA INC,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
118,Tidal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,UPSTREAM BIO GLOBAL,335510,UPSTREAM BIO INC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
120,Unipec (United States),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"Unipec America, Inc.",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"Unipec America, Inc. (PANAMA)",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,VANDA PHARMACEUTI GLOBAL,244310,VANDA PHARMACEUTICALS INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
124,VANGUARD FIDUCIARY TRUST COMPA,380901,VANGUARD FIDUCIARY TRUST COMPANY,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,VANGUARD FIDUCIARY TRUST COMPANY,380901,VANGUARD FIDUCIARY TRUST COMPANY,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,VANGUARD GROUP,3283542,VANGUARD GROUP INC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,VERA THERAPEUTICS GLOBAL,275748,VERA THERAPEUTICS INC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
128,VERA THERAPEUTICS INC,275748,VERA THERAPEUTICS INC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"VERACYTE, INC.",381219,VERACYTE INC.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,VERASTEM US,361391,VERASTEM INC.,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
131,VISTERRA GLOBAL,390805,VISTERRA INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
132,ZIDAN MEDICAL GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,ADOLF WÃœRTH GMBH & CO KG,522287,ADOLF WUERTH GMBH & CO. KG,0,1,0,0,1,0,,,,,,,,0,,0,
134,ALTONA DIAGNOSTICS GMBH,1478161,ALTONA DIAGNOSTICS GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
135,ARA AG - Management board,514449,ARA AG,0,1,0,0,1,0,,,,,,,,0,,0,
136,ARA AG - Supervisory board,514449,ARA AG,0,1,0,0,1,0,,,,,,,,0,,0,
137,ARTRON EUROPE GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0,
138,ATI Logistik GmbH & Co. KG,,,0,0,0,1,1,0,,,,,,,,0,,0,
139,Aergo Holdings Limited,,,0,0,0,0,0,0,,,,,,,,0,,0,
140,Aluminium Rheinfelden Alloys GmbH,3224279,ALUMINIUM RHEINFELDEN ALLOYS GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
141,BA23,,,0,0,0,0,0,0,,,,,,,,0,,0,
142,BEC GESELLSCHAFT FÃœR PRODUKT-MNAGEMENT MBH,,,0,0,0,0,1,0,,,,,,,,0,,0,
143,BOLLMANN BRENNSTOFFE GMBH,,,0,0,0,0,0,0,,,,,,,,0,,0,
144,Balandis Real Estate GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0,
145,Batavus II,,,0,0,0,0,0,0,,,,,,,,0,,0,
146,Broetje-Automation GmbH,499368,BROETJE-AUTOMATION GMBH,0,1,0,0,1,0,,,,,,,,0,,0,
147,CARCOUSTICS BELGIUM N.V. - MNC CAS -  CARCOUSTICSINTERNATIONAL GMBH,1034505,CARCOUSTICS INTERNATIONAL GMBH,0,1,0,1,1,0,,,,,,,,0,,0,
148,CARCOUSTICS INTERNATIONAL,1034505,CARCOUSTICS INTERNATIONAL GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
149,CARLINO 1 S.R.L.,,,0,0,0,1,0,0,,,,,,,,0,,0,
150,CARLINO FTV 2 S.A.S. DI ITALIAN SOLARPOWER PROJECTS 1 S.R.L.,,,0,0,0,1,0,0,,,,,,,,0,,0,
151,CARLINO FTV 3 S.R.L.,,,0,0,0,1,0,0,,,,,,,,0,,0,
152,Certa Batavus II,,,0,0,0,0,0,0,,,,,,,,0,,0,
153,Certa ESB Nord,,,0,0,0,0,0,0,,,,,,,,0,,0,
154,DB Energie GmbH,1327246,DB ENERGIE GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
155,DEUTSCHE INDUSTRIE UND PARKHAUSBAU GMBH,,,0,0,0,0,0,0,,,,,,,,0,,0,
156,DR WILLMAR SCHWABE GMBH AND CO KG,,,0,0,0,0,0,0,,,,,,,,0,,0,
157,Dastex Group GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0,
158,Data Modul Ag,171938,DATA MODUL AG,0,1,0,0,0,0,,,,,,,,0,,0,
159,Deutsches Rotes Kreuz Kreisverband Mannheim e.V.,,,0,0,0,1,0,0,,,,,,,,0,,0,
160,ECOBAT Resources Germany,3316277,ECOBAT LLC,0,1,0,0,0,0,,,,,,,,0,,0,
161,EZN B.V. - MNC CAS - BOCHUMER ELEKTROMOTORENWERK W,,,0,0,0,1,1,0,,,,,,,,0,,0,
162,Eichhorn AG,,,0,0,0,0,0,0,,,,,,,,0,,0,
163,FERRERO DEUTSCHLAND,,,0,0,0,0,0,0,,,,,,,,0,,0,
164,Frankfurter Bankgesellschaft (Deutschland) AG,,,0,0,0,0,1,0,,,,,,,,0,,0,
165,Fraunhofer Gesellschaft Instit ut fÃ¼r Molekularbiologie und a,,,0,0,0,0,0,0,,,,,,,,0,,0,
166,Fraunhofer Gesellschaft Institut fÃ¼r Molekularbiologie und angewandte Ã–kologie TMP Projektgruppe,,,0,0,0,0,0,0,,,,,,,,0,,0,
167,Fraunhofer-Gesellschaft,,,0,0,0,0,1,0,,,,,,,,0,,0,
168,Fraunhofer-Gesellschaft e.V. f Ã¼r sein Fraunhofer ITMP Frankf,,,0,0,0,1,1,0,,,,,,,,0,,0,
169,Fraunhofer-Gesellschaft e.V. fÃ¼r sein Fraunhofer ITMP Frankfurt,,,0,0,0,1,1,0,,,,,,,,0,,0,
170,Fuchs Petrolub Se,418830,FUCHS SE,0,1,0,0,0,0,,,,,,,,0,,0,
171,GKW Consult GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0,
172,GLASFASERPLUS (GERMANY),,,0,0,0,0,1,0,,,,,,,,0,,0,
173,GREENPEAK Continuation Fund I (Certania) GmbH & Co. KG,,,0,0,0,1,1,0,,,,,,,,0,,0,
174,GREENPEAK Continuation Fund I (Certania) GmbH & Co. KG; GREENPEAK Continuation Fund I Aggregator GmbH & Co. KG et al,,,0,0,0,1,1,0,,,,,,,,0,,0,
175,Gebr. Brasseler GmbH & Co. KG,,,0,0,0,1,1,0,,,,,,,,0,,0,
176,Gesellschaft der EuropahÃ¤user und EuropÃ¤ischen Akademien e.V.,,,0,0,0,1,0,0,,,,,,,,0,,0,
177,Gesellschaft der EuropÃ¤ischen Akademien e.V.,,,0,0,0,1,0,0,,,,,,,,0,,0,
178,HELU KABEL GmbH,528674,HELU KABEL GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
179,HUGO KERN UND LIEBERS GMBH & CO. KG,526673,KERN LIEBERS GMBH & CO. KG,0,1,0,1,1,0,,,,,,,,0,,0,
180,HUGO KERN UND LIEBERS GMBH AND CO KG PLATINEN UND FEDERNFABRIK,526673,KERN LIEBERS GMBH & CO. KG,0,1,0,0,0,0,,,,,,,,0,,0,
181,HYMMEN GMBH MASCHINEN- UND ANLAGENBAU,,,0,0,0,0,1,0,,,,,,,,0,,0,
182,Hagiwara Electric Europe,2113863,HAGIWARA ELECTRIC EUROPE GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
183,Hamburg Commercial Bank,2337862,HAMBURG COMMERCIAL BANK AG,0,1,0,0,0,0,,,,,,,,0,,0,
184,Heidelberg Materials AG,395545,HEIDELBERG MATERIALS AG,0,1,0,0,0,0,,,,,,,,0,,0,
185,Heimkreiter GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0,
186,HÃ¼peden & CO (GmbH & Co.),,,0,0,0,1,1,0,,,,,,,,0,,0,
187,ICM InvestmentBank AG,,,0,0,0,0,0,0,,,,,,,,0,,0,
188,ILJIN GmbH,929573,ILJIN EUROPE GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
189,ILJIN Motion & Control GmbH,929573,ILJIN EUROPE GMBH,0,1,0,0,1,0,,,,,,,,0,,0,
190,ILS AG,,,0,0,0,0,0,0,,,,,,,,0,,0,
191,IPSEN GROUP HOLDING GMBH,2233174,IPSEN INTERNATIONAL HOLDING GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
192,IPSEN INTERNATIONAL HOLDI,2233174,IPSEN INTERNATIONAL HOLDING GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
193,Infraserv GmbH & Co. HÃ¶chst KG,598823,INFRASERV GMBH & CO. HÃ–CHST KG,0,1,0,1,1,0,,,,,,,,0,,0,
194,JCM Europe GmbH,508467,JCM EUROPE GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
195,K + S Aktiengesellschaft,377209,K+S AKTIENGESELLSCHAFT,0,1,0,0,1,0,,,,,,,,0,,0,
196,KARG REAL ESTATE GMBH,,,0,0,0,0,0,0,,,,,,,,0,,0,
197,KARL,,,0,0,0,0,0,0,,,,,,,,0,,0,
198,KUBOTA BRABENDER TECHNOLO,436035,KUBOTA BRABENDER TECHNOLOGIE GMBH,0,0,0,0,0,0,,,,,,,,0,,0,
199,Kure Grinding Wheel (Deutschland) GmbH,,,0,0,0,0,1,0,,,,,,,,0,,0,
200,LENZ ENERGIE AG,,,0,0,0,0,0,0,,,,,,,,0,,0,
201,LEUENDORFF GEBÃ„UDETECHNIK  ENERGIE- UND MINERALÃ–LH NERALÃ–LHA,491344,LEUENDORFF GEBAEUDETECHNIK ENERGIE- UND MINERALOELHANDEL GMBH,0,1,0,0,1,0,,,,,,,,0,,0,
202,La Famiglia GmbH,1334524,LA FAMIGLIA FONDS I GMBH & CO. KG,0,1,0,0,0,0,,,,,,,,0,,0,
203,La Famiglia II GmbH,1059865,LA FAMIGLIA FONDS II GMBH & CO. KG,0,1,0,0,0,0,,,,,,,,0,,0,
204,Langer-UmzÃ¼ge GmbH,,,0,0,0,0,1,0,,,,,,,,0,,0,
205,Lehel HÃ¶fe GmbH c/o Athos KG,,,0,0,0,0,1,0,,,,,,,,0,,0,
206,Logwin AG,,,0,0,0,0,0,0,,,,,,,,0,,0,
207,Losberger De Boer Holding,2395936,LOSBERGER DE BOER HOLDING GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
208,MAIERGROUP VERSICHERUNGSM,,,0,0,0,0,0,0,,,,,,,,0,,0,
209,MAIERGROUP VERSICHERUNGSMAKLER GMBH,,,0,0,0,0,0,0,,,,,,,,0,,0,
210,MARC OÂ´POLO INTERNATIONAL GMBH,537932,MARC O'POLO INTERNATIONAL GMBH,0,0,0,0,1,0,,,,,,,,0,,0,
211,MEDIRA GMBH,,,0,1,0,0,0,0,,,,,,,,0,,0,
212,MOXINO S.Ã.R.L.,,,0,0,0,1,0,0,,,,,,,,0,,0,
213,Marsh GmbH,154518,MARSH GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
214,Mitani Europe GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0,
215,Mitsui Chemicals Europe GmbH,1882050,MITSUI CHEMICALS EUROPE GMBH,0,1,0,0,0,0,,,,,,,,0,,0,
216,MoldTecs-01-2022 GmbH,1505986,MOLDTECS-01-2022 GMBH,0,1,0,0,1,0,,,,,,,,0,,0,
217,MÃ¼nchener RÃ¼ckversicherungs-Gesellschaft Aktiengesellschaft in MÃ¼nchen,969,MÃœNCHENER RÃœCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MÃœNCHEN,0,1,0,0,1,0,,,,,,,,0,,0,
218,NASSAUISCHE SPARKASSE,352875,NASSAUISCHE SPARKASSE,0,1,0,0,0,0,,,,,,,,0,,0,
219,NDEnergie GmbH & Co. KG,,,0,0,0,1,1,0,,,,,,,,0,,0,
220,P & S VermÃ¶gensberatungs AG Performance & Sicherheit,,,0,0,0,0,1,0,,,,,,,,0,,0,
221,PCC SE,2329126,PCC SE,0,0,0,0,0,0,,,,,,,,0,,0,
222,PROJECT PCC (PRIME CORPORATE CENTER GMBH&CO KG),2329126,PCC SE,0,0,0,0,1,0,,,,,,,,0,,0,
223,Pensionskasse der Wacker Chemie VVaG,1393359,PENSIONSKASSE DER WACKER CHEMIE VVAG,0,1,0,0,0,0,,,,,,,,0,,0,
224,Peter KÃ¶lln GmbH & Co.,499397,PETER KOELLN GMBH & CO. KGAA,0,1,0,1,1,0,,,,,,,,0,,0,
