Index,Name,gt_ID,gt_Name,Predicted Match,Actual Match,Exact,.,other punctuation,white space,truncation,spelling mistakes,var lacks suffix,gt lacks suffix,long vs short suffix,extra words,insurance words,the,acronym,.com
112,TAKETWO INTERACTIVE FR,386600,TAKE TWO INTERACTIVE FRANCE,,1,0,0,0,0,,,,,,,,0,,0
113,TENNANT,74420,TENNANT,,1,0,0,0,0,,,,,,,,0,,0
114,TEXTILES DU GRAND CHEMIN,,,,0,0,0,0,0,,,,,,,,0,,0
115,THE GOOD FIT,,,,0,0,0,0,0,,,,,,,,1,,0
116,THIERRY MULLER,,,,0,0,0,0,0,,,,,,,,0,,0
117,TRANSRISLE,,,,0,0,0,0,0,,,,,,,,0,,0
118,TRAPY INVEST,,,,0,0,0,0,0,,,,,,,,0,,0
119,TSH GROUP HOLDING B.V.,,,,0,0,1,0,0,,,,,,,,0,,0
120,UNION DE COOPERATIVE ALLIANCE FORETS BOIS,2595322,ALLIANCE FORETS BOIS,,1,0,0,0,0,,,,,,,,0,,0
121,VALDEYRON MATERIAUX,,,,0,0,0,0,0,,,,,,,,0,,0
122,VERMEER CAPITAL PARTNERS,,,,0,0,0,0,0,,,,,,,,0,,0
123,XB DEVELOPPEMENT,,,,0,0,0,0,0,,,,,,,,0,,0
